Departamento,Municipio,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max,Cultivo
50,50573,5.1,1.892908807,3.896648045,1.428097169,1.00962884,0.14,0.0618228,42.401,1,1,0.229885057,0,0,0,0,35,25,16,Frutales
50,50573,4.93,2.437731078,16.74581006,1.375593596,1.35941978,0.14,0.190224,55.356,1,1,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,4.81,1.712162083,3.477653631,2.121144324,0.94079051,0.14,0.0787316,49.769,1,1,0.065681445,0,0,0,0,35,25,16,Frutales
50,50573,5.01,1.68117693,3.477653631,1.302088595,0.72318673,0.14,0.0602376,47.483,1,1,0.065681445,0,0,0,0,35,25,16,Frutales
25,25839,4.61,5.621455532,3.198324022,7.056480127,1.03718613,0.14,0.1009244,1902.117,1.17,3.217,0.086206897,0,0,0,0,0,0,0,Pastos
25,25839,4.96,2.546179113,3.477653631,4.69381937,1.07297767,0.14,0.0745044,848.089,1,4.259,0.065681445,0,0,0,0,0,0,0,Pastos
25,25839,4.55,2.845702257,2.5,1.816623604,0.87458714,0.14,0.124174,356.807,1,1,0.1272578,0,0,0,0,0,0,0,Pastos
25,25839,4.89,5.820509318,3.337988827,3.853762212,1.29058145,0.14,0.1468952,916.482,1,2.207,0.168308703,0,0,0,0,0,0,0,Pastos
25,25839,4.98,2.605567323,2.360335196,3.181716486,1.548039,0.14,0.0856008,87.085,1,1,0.168308703,0,0,0,0,0,0,0,Pastos
25,25839,4.94,8.505656841,3.477653631,1.449098598,3.32597826,0.14,0.6531024,527.868,4.729,4.492,0.1272578,0,0,0,0,0,0,0,Pastos
25,25839,5.1,5.975202693,3.058659218,2.887696481,1.2988157,0.14,0.17173,638.825,2.729,7.544,0.065681445,0,0,0,0,0,0,0,Pastos
25,25839,4.85,3.083255095,3.198324022,2.383662186,1.49160694,0.14,0.1949796,1061.852,3.828,16.052,0.086206897,0,0,0,0,0,0,0,Pastos
25,25839,4.51,3.124568633,2.360335196,4.714820799,0.96143103,0.14,0.1437248,1596.588,1.396,2.803,0.065681445,0,0,0,0,0,0,0,Pastos
25,25839,4.72,4.240034135,2.5,3.045207198,0.86086339,0.14,0.1368556,833.272,1.177,3.784,0.106732348,0,0,0,0,0,0,0,Pastos
17,17867,5.38,8.247447234,3.477653631,0.724549299,1.17486279,0.12899012,0.0998676,384.373,1.248,2.401,0.106732348,150,150,1.635,10.9,0,0,0,Aguacate
5,5585,4.56,2.104640685,7.248603352,3.181716486,1.39927355,0.14,0.1569348,1974.882,3.181,2.51,0.1272578,72,72,612,8.5,0,0,16,Cacao
20,20238,4.9,1.732432745,4.280104712,1.138448707,1.86511252,0.14,0.1923376,98.201,1,2.484,0.065681445,291,291,2.069,7.11,0,0,0,Cacao
85,85230,4.94,2.04,0.397196262,2.265687653,0.59,0.14,0.050198,85.193,1,1,0.49,0,0,0,0,35,26,17,Forestal
50,50573,5.24,1.888831396,7.290575916,0.137035493,1.526081,0.14,0.1262876,203.896,1,1,0.045155993,0,0,0,0,35,25,16,Forestal
50,50573,4.8,2.812560928,13.18062827,2.329603373,1.526081,0.14,0.1474236,253.759,1.192,1.464,0.455665025,0,0,0,0,35,25,16,Frutales
